Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.TR1, 11255.39, 64320.96, 11255.39, 64320.96, 0, 0
Line.L115, 11046.5, 23016.17, 11046.5, 23016.17, 0, 0
Line.L1, 4.160411, -38.24262, 4.160411, -38.24262, 0, 0
Line.L2, 156.0931, 19.79287, 156.0931, 19.79287, 0, 0
Line.L3, 7342.44, 15249.69, 7342.44, 15249.69, 0, 0
Line.L4, 19.21475, -36.39079, 19.21475, -36.39079, 0, 0
Line.L5, 74.96709, -37.49275, 74.96709, -37.49275, 0, 0
Line.L6, 25.95332, -44.49835, 25.95332, -44.49835, 0, 0
Line.L7, 4955.49, 10285.87, 4955.49, 10285.87, 0, 0
Line.L8, 5.381198, -48.27036, 5.381198, -48.27036, 0, 0
Line.L9, 140.3436, 18.63295, 140.3436, 18.63295, 0, 0
Line.L10, 6532.28, 13512.76, 6532.28, 13512.76, 0, 0
Line.L11, 94.99787, -48.86403, 94.99787, -48.86403, 0, 0
Line.L12, 123.8707, 28.15721, 123.8707, 28.15721, 0, 0
Line.L13, 3928.611, 8014.186, 3928.611, 8014.186, 0, 0
Line.L14, 24.76565, -44.10652, 24.76565, -44.10652, 0, 0
Line.L15, 6.2494, -53.26671, 6.2494, -53.26671, 0, 0
Line.L16, 37.12181, -65.39555, 37.12181, -65.39555, 0, 0
Line.L17, 8.651722, -73.89923, 8.651722, -73.89923, 0, 0
Line.L18, 101.911, -4.765353, 101.911, -4.765353, 0, 0
Line.L19, 70.19291, 136.6618, 70.19291, 136.6618, 0, 0
Line.L20, 32.4991, -55.60965, 32.4991, -55.60965, 0, 0
Line.L21, 55.05973, -90.00269, 55.05973, -90.00269, 0, 0
Line.L22, 82.43855, 164.8443, 82.43855, 164.8443, 0, 0
Line.L23, 55.29478, -93.81293, 55.29478, -93.81293, 0, 0
Line.L24, 57.48081, 110.3063, 57.48081, 110.3063, 0, 0
Line.L25, 9.697197, 10.9868, 9.697197, 10.9868, 0, 0
Line.L26, 25.86412, 50.10138, 25.86412, 50.10138, 0, 0
Line.L27, 1.653537, -2.338792, 1.653537, -2.338792, 0, 0
Line.L28, 22.63972, -38.33437, 22.63972, -38.33437, 0, 0
Line.L29, 10.00457, -105.1175, 10.00457, -105.1175, 0, 0
Line.L30, 14.76947, 24.31216, 14.76947, 24.31216, 0, 0
Line.L31, 10.60299, 17.06337, 10.60299, 17.06337, 0, 0
Line.L32, -4.167875E-008, -4.522556, -4.167875E-008, -4.522556, 0, 0
Line.L33, 7.550304, -62.29139, 7.550304, -62.29139, 0, 0
Line.L34, 22.25803, -11.33459, 22.25803, -11.33459, 0, 0
Line.L35, 32.0232, 58.88034, 32.0232, 58.88034, 0, 0
Line.L36, 377.9566, 761.4371, 377.9566, 761.4371, 0, 0
Line.L37, 28.70341, -51.69926, 28.70341, -51.69926, 0, 0
Line.L38, 24.74631, -43.34977, 24.74631, -43.34977, 0, 0
Line.L39, 7.900338, -67.67797, 7.900338, -67.67797, 0, 0
Line.L40, 8.162271, -67.2469, 8.162271, -67.2469, 0, 0
Line.L41, 388.8903, 781.6306, 388.8903, 781.6306, 0, 0
Line.L42, 52.08427, -85.06447, 52.08427, -85.06447, 0, 0
Line.L43, 250.8764, 506.8676, 250.8764, 506.8676, 0, 0
Line.L44, 46.63003, -21.2057, 46.63003, -21.2057, 0, 0
Line.L45, 297.1121, 604.9419, 297.1121, 604.9419, 0, 0
Line.L46, 7.894118, -61.64178, 7.894118, -61.64178, 0, 0
Line.L47, 27.89643, 56.95397, 27.89643, 56.95397, 0, 0
Line.L48, 48.65536, 95.25211, 48.65536, 95.25211, 0, 0
Line.L49, 8.238445, 13.49385, 8.238445, 13.49385, 0, 0
Line.L50, 1.998003, -0.9991744, 1.998003, -0.9991744, 0, 0
Line.L51, 5.515266E-008, -11.22055, 5.515266E-008, -11.22055, 0, 0
Line.L52, 1043.555, 2145.094, 1043.555, 2145.094, 0, 0
Line.L53, 597.1384, 1225.504, 597.1384, 1225.504, 0, 0
Line.L54, 3.369644, 0.9227844, 3.369644, 0.9227844, 0, 0
Line.L55, 1629.697, 3336.979, 1629.697, 3336.979, 0, 0
Line.L56, 2.026012, -1.683098, 2.026012, -1.683098, 0, 0
Line.L57, 24.78097, -43.26045, 24.78097, -43.26045, 0, 0
Line.L58, 3261.253, 6690.51, 3261.253, 6690.51, 0, 0
