Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11, 1,    6634.98,   -0.1,    1.0447, 2,    6645.36, -120.2,    1.0464, 3,    6639.34,  119.8,    1.0454
"SUBSTATION", 4.16, 1,    2458.33,  -31.3,    1.0235, 2,    2477.52, -150.7,    1.0315, 3,     2474.2,   89.0,    1.0302
"1", 4.16, 1,    2431.16,  -31.7,    1.0122, 2,    2471.33, -150.8,     1.029, 3,     2453.5,   88.9,    1.0215
"2", 4.16, 1,    2431.24,  -31.7,    1.0123, 2,    2470.82, -150.8,    1.0287, 3,    2453.59,   88.9,    1.0216
"3", 4.16, 1,    2431.71,  -31.7,    1.0125, 2,    2471.95, -150.7,    1.0292, 3,    2449.76,   88.9,      1.02
"7", 4.16, 1,    2410.82,  -31.9,    1.0038, 2,    2466.87, -150.9,    1.0271, 3,     2440.2,   88.8,     1.016
"4", 4.16, 1,    2431.88,  -31.7,    1.0125, 2,    2472.15, -150.7,    1.0293, 3,    2448.59,   88.9,    1.0195
"5", 4.16, 1,    2432.15,  -31.7,    1.0126, 2,    2472.45, -150.7,    1.0294, 3,     2446.8,   88.9,    1.0187
"6", 4.16, 1,    2432.37,  -31.7,    1.0127, 2,    2472.71, -150.7,    1.0295, 3,    2445.28,   88.9,    1.0181
"8", 4.16, 1,    2397.31,  -32.1,   0.99814, 2,    2464.06, -150.9,    1.0259, 3,     2431.2,   88.7,    1.0123
"12", 4.16, 1,    2397.42,  -32.1,   0.99818, 2,     2463.4, -150.9,    1.0257, 3,    2431.32,   88.7,    1.0123
"9", 4.16, 1,    2393.95,  -32.1,   0.99674, 2,    2464.65, -150.9,    1.0262, 3,    2431.79,   88.8,    1.0125
"13", 4.16, 1,    2379.53,  -32.4,   0.99074, 2,    2458.94, -151.0,    1.0238, 3,    2417.69,   88.7,    1.0066
"14", 4.16, 1,    2390.14,  -32.1,   0.99516, 2,    2465.32, -151.0,    1.0265, 3,    2432.47,   88.8,    1.0128
"34", 4.16, 1,    2379.87,  -32.4,   0.99088, 2,    2460.03, -151.0,    1.0243, 3,    2415.21,   88.7,    1.0056
"18", 4.16, 1,    2357.97,  -32.8,   0.98176, 2,    2451.54, -151.2,    1.0207, 3,    2401.17,   88.7,   0.99975
"11", 4.16, 1,    2388.65,  -32.1,   0.99454, 2,    2465.58, -151.0,    1.0266, 3,    2432.73,   88.8,    1.0129
"10", 4.16, 1,    2389.39,  -32.1,   0.99484, 2,    2465.45, -151.0,    1.0265, 3,     2432.6,   88.8,    1.0128
"15", 4.16, 1,       2380,  -32.4,   0.99093, 2,    2460.18, -151.0,    1.0243, 3,    2414.32,   88.7,    1.0052
"16", 4.16, 1,    2380.34,  -32.4,   0.99107, 2,    2460.55, -151.0,    1.0245, 3,    2412.09,   88.7,    1.0043
"17", 4.16, 1,    2380.16,  -32.4,     0.991, 2,    2460.35, -151.0,    1.0244, 3,    2413.28,   88.7,    1.0048
"19", 4.16, 1,    2354.95,  -32.8,    0.9805, 2,    2452.06, -151.2,    1.0209, 3,    2401.71,   88.7,   0.99997
"21", 4.16, 1,    2356.66,  -32.8,   0.98121, 2,    2451.48, -151.2,    1.0207, 3,     2399.1,   88.7,   0.99889
"20", 4.16, 1,       2353,  -32.8,   0.97969, 2,     2452.4, -151.2,    1.0211, 3,    2402.06,   88.7,    1.0001
"22", 4.16, 1,    2357.16,  -32.8,   0.98142, 2,    2448.28, -151.2,    1.0194, 3,    2399.69,   88.7,   0.99913
"23", 4.16, 1,    2356.06,  -32.9,   0.98097, 2,    2452.03, -151.2,    1.0209, 3,    2396.67,   88.7,   0.99787
