x,Phase_a,Phase_b,Phase_c
1,0.313,-0.199,0.221
2,0.312,-0.198,0.221
3,0.364,-0.257,0.237
4,0.365,-0.257,0.238
5,0.551,-0.352,0.263
6,0.552,-0.352,0.263
7,0.596,-0.41,0.415
8,0.598,-0.418,0.424
9,0.597,-0.418,0.424
10,0.604,-0.394,0.43
11,0.611,-0.392,0.501
12,0.611,-0.392,0.5
13,0.751,-0.435,0.301
14,0.756,-0.433,0.306
15,0.755,-0.446,0.306
16,0.757,-0.443,0.308
17,0.756,-0.441,0.308
18,0.755,-0.472,0.296
19,0.755,-0.479,0.298
20,0.763,-0.503,0.307
21,0.763,-0.501,0.307
22,0.76,-0.515,0.31
23,0.761,-0.526,0.316
24,0.763,-0.571,0.337
25,0.763,-0.592,0.344
26,0.762,-0.594,0.344
27,0.756,-0.657,0.352
28,0.754,-0.657,0.351
29,0.755,-0.72,0.353
30,0.755,-0.72,0.353
31,0.745,-0.771,0.313
32,0.739,-0.826,0.277
33,0.771,-0.48,0.299
34,0.787,-0.489,0.298
35,0.787,-0.487,0.297
36,0.822,-0.474,0.267
37,0.826,-0.474,0.258
38,0.829,-0.472,0.257
39,0.822,-0.466,0.255
40,0.792,-0.478,0.233
41,0.788,-0.476,0.233
42,0.79,-0.478,0.234
43,0.83,-0.46,0.224
44,0.828,-0.46,0.224
45,0.821,-0.446,0.203
46,0.826,-0.422,0.149
47,0.825,-0.425,0.149
48,0.703,-0.395,0.109
49,0.703,-0.395,0.108
50,0.581,-0.352,0.07
51,0.581,-0.337,0.07
52,0.457,-0.293,0.03
53,0.456,-0.294,0.03
54,0.392,-0.194,-0.034
55,0.392,-0.146,-0.034
