x,Phase_a,Phase_b,Phase_c
1,1.008,1.018,1.039
2,1.007,1.018,1.04
3,1.006,1.027,1.058
4,1.007,1.027,1.059
5,1.015,1.042,1.092
6,1.016,1.042,1.09
7,1.015,1.054,1.101
8,1.012,1.06,1.106
9,1.01,1.058,1.106
10,1.014,1.055,1.113
11,1.013,1.059,1.119
12,1.013,1.06,1.116
13,1.022,1.06,1.114
14,1.02,1.06,1.112
15,1.02,1.064,1.112
16,1.022,1.058,1.112
17,1.022,1.058,1.112
18,1.031,1.064,1.128
19,1.027,1.069,1.13
20,1.026,1.07,1.14
21,1.027,1.069,1.14
22,1.018,1.07,1.149
23,1.015,1.073,1.156
24,0.997,1.078,1.196
25,0.989,1.08,1.206
26,0.989,1.081,1.206
27,0.976,1.075,1.232
28,0.975,1.075,1.228
29,0.974,1.074,1.24
30,0.974,1.074,1.24
31,0.969,1.075,1.229
32,0.968,1.075,1.229
33,1.03,1.062,1.134
34,1.035,1.066,1.138
35,1.036,1.066,1.137
36,1.04,1.069,1.138
37,1.04,1.068,1.133
38,1.044,1.068,1.137
39,1.042,1.068,1.146
40,1.035,1.058,1.133
41,1.034,1.058,1.134
42,1.034,1.058,1.136
43,1.053,1.072,1.138
44,1.05,1.072,1.138
45,1.045,1.076,1.142
46,1.05,1.08,1.138
47,1.051,1.081,1.138
48,1.043,1.095,1.142
49,1.043,1.095,1.139
50,1.04,1.114,1.135
51,1.04,1.111,1.135
52,1.039,1.129,1.131
53,1.038,1.132,1.131
54,1.035,1.146,1.129
55,1.035,1.151,1.129
